"Question","Options","Correct Answer","Justification","revoir"
"You need to implement a type 3 slowly changing dimension (SCD) in an Azure Synapse Analytics dedicated SQL pool. Which two columns should you add to the table?","a) Effective Start Date - b) Current Product Category - c) Effective End Date - d) Original Product Category","b) Current Product Category - d) Original Product Category","b) Current Product Category - d) Original Product Category : Corrects - car pour un type 3 SCD - il est nécessaire de stocker deux versions d'une dimension dans des colonnes séparées.","0.0"
"You need to design an Azure Synapse Analytics dedicated SQL pool to maintain employee data and minimize query complexity. How should you model the data?","a) Temporal Table - b) SQL Graph Table - c) Degenerate Dimension Table - d) Type 2 Slowly Changing Dimension (SCD) Table","d) Type 2 Slowly Changing Dimension (SCD) Table","d) Type 2 SCD Table : Correct - car il permet de stocker les versions des données tout en minimisant la complexité des requêtes. a) Temporal Table - b) SQL Graph Table - c) Degenerate Dimension Table : Incorrects - car ils ne permettent pas une gestion efficace des versions de données.","0.0"
"You need to trigger an Azure Data Factory pipeline when a file arrives in an Azure Data Lake Storage Gen2 container. Which resource provider should you enable?","a) Microsoft.SQL - b) Microsoft.Automation - c) Microsoft.EventGrid - d) Microsoft.EventHub","c) Microsoft.EventGrid","c) Microsoft.EventGrid : Correct - car Event Grid permet de déclencher des pipelines en réponse à l'arrivée de fichiers dans un compte de stockage.","0.0"
"Which Azure product is typically used for running batch jobs as part of an Azure Synapse Analytics Custom activity?","a) Azure Virtual Machine - b) Azure Functions - c) Azure App Services WebJob - d) Azure Batch","d) Azure Batch","Azure Batch is designed for running large-scale batch processing jobs in Azure Synapse.","0.0"
"You are moving data from Azure Data Lake Gen 2 to Azure Synapse Analytics. Which Azure Data Factory integration runtime should be used in a data copy activity?","a) Azure Integration Runtime - b) Self-Hosted Integration Runtime - c) Azure SSIS","a) Azure Integration Runtime","a) Azure Integration Runtime : Correct - car il est utilisé pour copier des données entre deux technologies de plateforme de données Azure. b) - c) : Incorrects - car ces runtimes ne sont pas adaptés pour des transferts entre plateformes Azure.","0.0"
"You are performing exploratory analysis of bus fare data in an Azure Data Lake Storage Gen2 account by using an Azure Synapse Analytics serverless SQL pool. You execute a Transact-SQL query- and the query results include only the CSV files in the bus fare folder. The query assumes that the first row in the CSV is a header. Does this meet the goal?","a) Yes - b) No","a) Yes","a) Yes : Correct - car les fichiers CSV comprennent généralement une première ligne qui est un en-tête - et cela est correctement assumé par la requête.","0.0"
"Which Azure Data Factory component contains the transformation logic or analysis commands?","a) Linked Services - b) Datasets - c) Activities - d) Pipelines","c) Activities","c) Activities : Correct - car les activités contiennent la logique de transformation dans un pipeline Azure Data Factory.","0.0"
"You have a solution that upserts data to a table in an Azure Synapse Analytics database. You need to write a single T-SQL statement to upsert the data. Which T-SQL command should you run?","a) INSERT - b) MERGE - c) SELECT INTO - d) UPDATE","b) MERGE","La commande MERGE est utilisée dans T-SQL pour effectuer des opérations d'upsert (insertion et mise à jour de données) en une seule commande. Elle compare une source de données avec une table cible et applique les modifications en fonction des correspondances. Les autres options - telles que INSERT et UPDATE - ne sont pas adaptées car elles ne permettent pas de gérer à la fois l'insertion et la mise à jour dans une seule commande.","0.0"
"You have a large fact table in Azure Synapse Analytics containing 5 billion rows. Queries against the table are slow. Which type of index should you add to provide the fastest query times?","a) Non-Clustered Columnstore - b) Clustered Columnstore - c) Non-Clustered - d) Clustered","b) Clustered Columnstore","b) Clustered Columnstore : Correct - car il améliore les performances des requêtes sur de grands ensembles de données en stockant les colonnes de manière optimisée. a) - c) - d) : Incorrects - car ces index sont moins adaptés à de grandes bases de données avec des requêtes volumineuses.","0.0"
"You are designing an Azure Databricks table that will ingest an average of 20 million streaming events per day. What should you include in the solution?","a) Partition by Date-Time Fields - b) Sync to Azure Queue Storage - c) Include a Watermark Column - d) Use JSON Format for Physical Data Storage","b) Sync to Azure Queue Storage","b) Sync to Azure Queue Storage : Correct - car cela permet de réduire les coûts de stockage et de minimiser le temps de chargement. a) - c) - d) : Incorrects - car ils augmentent la complexité ou les coûts sans avantage clair.","0.0"
"You plan to create an Azure Databricks workspace with three workloads. Should you create a standard cluster for each data scientist- high concurrency for data engineers- and a standard cluster for the jobs?","a) Yes - b) No","a) Yes","a) Yes : Correct - car cette configuration répond à tous les besoins - un cluster standard pour chaque data scientist et un cluster haute concurrence pour les ingénieurs.","0.0"
"Analysts write complex queries with multiple joins and case statements in Azure Synapse Analytics. What should you implement to minimize query times?","a) Clustered Index - b) Materialized View - c) Result Set Caching - d) Replicated Table","b) Materialized View","b) Materialized View : Correct - car les vues matérialisées améliorent les performances des requêtes complexes en stockant des résultats pré-calculés.","0.0"
"You need to monitor transactions that have rolled back in a SQL pool in Azure Synapse. Which dynamic management view should you query?","a) sys.dm_pdw_nodes_trend_database_transaction - b) sys.dm_exec_requests - c) sys.dm_exec_sessions - d) sys.dm_pdw_nodes_trend_tables","a) sys.dm_pdw_nodes_trend_database_transaction","a) sys.dm_pdw_nodes_trend_database_transaction : Correct - car cette vue permet de suivre les transactions ayant échoué ou ayant été annulées.","0.0"
"What distinguishes a Failure dependency from a Fail activity?","a) When a Fail activity is executed without error - the pipeline status is set to Success - b) When an activity bound to a Failure dependency is successful - the pipeline status is set to Success - c) Fail activities always result in a Failed pipeline run status - d) Failure dependencies are useful for cleaning up failed activities so the issue can be avoided when triggered again","c) Fail activities always result in a Failed pipeline run status","Fail activities always result in a Failed pipeline run status - regardless of conditions.","0.0"
"If an Event Hub goes offline before a consumer group can process the events it holds- those events will be lost. True or False?","a) True - b) False","b) False","b) False : Correct - car les événements sont persistants dans l'Event Hub et peuvent être traités une fois que le groupe de consommateurs reprend après l'indisponibilité.","0.0"
"You plan to create an Azure Databricks workspace with three workloads. Should you create a standard cluster for each data scientist- high concurrency for data engineers- and high concurrency for the jobs?","a) Yes - b) No","b) No","b) No : Correct - car les clusters haute concurrence pour les jobs sont inefficaces. Un cluster standard pour les jobs est plus adapté.","0.0"
"You create a data flow activity in an Azure Synapse Analytics pipeline. You plan to use the data flow to read data from a fixed-length text file. You need to create the columns from each line of the text file. The solution must ensure that the data flow only writes three of the columns to a CSV file. Which three types of tasks should you add to the data flow activity? Each correct answer presents part of the solution.","a) aggregate - b) derived column - c) flatten - d) select - e) sink","b) derived column - d) select - e) sink","Vous devez utiliser une tâche de colonne dérivée (derived column) pour extraire les colonnes de chaque ligne de texte. La tâche select sélectionne les trois colonnes à écrire dans le fichier CSV. Enfin - une tâche sink est nécessaire pour écrire les données dans le fichier CSV. Il n'y a pas besoin d'agréger (aggregate) ou d'aplatir (flatten) les données dans ce scénario.","0.0"
"You plan to perform batch processing in Azure Databricks once daily. Which cluster should you use?","a) High Concurrency - b) Interactive - c) Automated","c) Automated","c) Automated : Correct - car un cluster automatisé est utilisé pour exécuter des tâches de traitement par lots - comme spécifié dans la question.","0.0"
"You execute a pipeline that contains a stored procedure- and the procedure fails. What is the status of the pipeline run?","a) Pipeline succeeded - b) Pipeline failed - c) Pipeline skipped - d) Pipeline succeeded with failures","a) Pipeline succeeded","a) Pipeline succeeded : Correct - car même si une activité échoue - la pipeline peut être conçue pour réussir grâce à des mécanismes comme les blocs try-catch.","0.0"
"What is the correct role for someone responsible for provisioning and configuring on-premises and cloud data platform technologies?","a) Data Engineer - b) Data Scientist - c) AI Engineer","a) Data Engineer","a) Data Engineer : Correct - car un ingénieur de données est responsable de la gestion des technologies de plateforme de données - y compris la configuration. b) Data Scientist : Incorrect - le Data Scientist se concentre sur l'analyse des données et non sur la configuration. c) AI Engineer : Incorrect - car un ingénieur IA travaille principalement sur les systèmes d'IA.","0.0"
"You have an Azure Synapse job using Scala. How can you view the status of the job?","a) Synapse Studio: Monitor Spark Applications - b) Azure Monitor: Custom Query on Diagnostics Table","a) Synapse Studio: Monitor Spark Applications","a) Synapse Studio: Monitor Spark Applications : Correct - car c'est l'outil dédié pour surveiller les tâches Spark dans Azure Synapse.","0.0"
"In unstructured data - you define data type at query time.","True - False","True","True: In unstructured data - the data does not follow a predefined schema - and the data types are often interpreted at query time based on the requirements.","0.0"
"You need to create a partitioned table in an Azure Synapse Analytics dedicated SQL pool. How should you complete the Transact-SQL statement?","a) Clustered Index - b) Collate - c) Distribution - d) Partition - e) Partition Function - f) Partition Schema","c) Distribution - d) Partition","c) Distribution - d) Partition : Corrects - car pour créer une table partitionnée dans Azure Synapse - vous devez spécifier une distribution des données et un partitionnement. Les autres options - comme Clustered Index ou Collate - ne sont pas pertinentes dans ce contexte.","0.0"
"You need to trigger an Azure Data Factory pipeline when a file arrives in an Azure Data Lake Storage Gen2 container. Which resource provider should you enable?","a) Microsoft.SQL - b) Microsoft.Automation - c) Microsoft.EventGrid - d) Microsoft.EventHub","c) Microsoft.EventGrid","c) Microsoft.EventGrid : Correct - car Event Grid permet de déclencher des pipelines en réponse à l'arrivée de fichiers dans un compte de stockage.","0.0"
"You need to audit access to PII (personally identifiable information) in Azure Synapse Analytics. Which solution should you implement?","a) Column-Level Security - b) Dynamic Data Masking - c) Sensitivity Classification","c) Sensitivity Classification","c) Sensitivity Classification : Correct - car elle permet d'auditer l'accès aux informations sensibles dans un environnement conforme au RGPD.","0.0"
"You need to implement the surrogate key for the retail store table. The solution must meet the sales transaction dataset requirements. What should you create?","a) A table that has an identity property - b) A system-versioned temporal table - c) A user-defined sequence object - d) A table that has a foreign key constraint","a) A table that has an identity property","a) A table that has an identity property : Correct - car une clé substitut est une colonne avec un identifiant unique pour chaque ligne. L'utilisation de la propriété 'identity' crée une clé substitut simple et efficace sans affecter les performances de chargement.","0.0"
"You have an Azure subscription with an Azure Storage account. You need to identify and delete blobs that were not modified in the last 100 days. You scheduled an Azure Data Factory pipeline with delete activity. Does this solution meet the goal?","a) Yes - b) No","b) No","b) No : Correct - car une simple activité de suppression dans un pipeline Azure Data Factory ne suffit pas pour satisfaire les exigences de conformité.","0.0"
"You have a real-time data analysis solution hosted on Microsoft Azure using Event Hub and Azure Stream Analytics. How can you optimize performance for the Stream Analytics job?","a) Implement event ordering - b) Implement user-defined functions - c) Implement query parallelization by partitioning the data input - d) Scale up the SU count for the job","c) Implement query parallelization by partitioning the data input","c) Implement query parallelization by partitioning the data input : Correct - car la parallélisation améliore les performances des jobs Stream Analytics.","0.0"
"You are a data architect- and the data engineering team needs to configure data synchronization between an on-premises Microsoft SQL Server database and Azure SQL Database. The synchronization process must perform an initial data synchronization with minimal downtime and then bi-directional synchronization after. Which synchronization method should you use?","a) Transactional Replication - b) Data Migration Assistant - c) SQL Server Agent Job - d) Azure SQL Data Sync","d) Azure SQL Data Sync","d) Azure SQL Data Sync : Correct - car Azure SQL Data Sync permet la synchronisation bidirectionnelle des données entre des bases de données locales et Azure SQL.","0.0"
"You execute a pipeline that contains a stored procedure- and the procedure fails. What is the status of the pipeline run?","a) Pipeline succeeded - b) Pipeline failed - c) Pipeline skipped - d) Pipeline succeeded with failures","a) Pipeline succeeded","a) Pipeline succeeded : Correct - car même si une activité échoue - la pipeline peut être conçue pour réussir grâce à des mécanismes comme les blocs try-catch.","0.0"
"How do you specify parameters when reading data in Spark?","a) Using `.option` during the read - b) Using `.parameter` during the read - c) Using `.keys` during the read","a) Using `.option` during the read","a) Using `.option` during the read : Correct - car `.option` permet de passer des paires clé-valeur pour configurer la lecture des données.","0.0"
"You are working as a data engineer in a company. Your company wants you to ingest data onto cloud data platforms in Azure. Which data processing framework will you use?","a) Online transaction processing (OLTP) - b) Extract - transform - and load (ETL) - c) Extract - load - and transform (ELT)","c) Extract - load - and transform (ELT)","ELT is the preferred framework in cloud environments like Azure - where data is loaded into a data lake or warehouse and then transformed later.","0.0"
"You need to label each pipeline in an Azure Data Factory with its main purpose. What should you add to each pipeline?","a) A resource tag - b) A user property - c) An annotation - d) A correlation ID","c) An annotation","c) An annotation : Correct - car les annotations permettent de filtrer et de regrouper des ressources dans Data Factory.","0.0"
"Azure Databricks is:","a) Data Analytics Platform - b) AI Platform - c) Data Injection Platform","a) Data Analytics Platform","a) Data Analytics Platform : Correct - car Azure Databricks est une plateforme d'analyse de données. b) AI Platform : Incorrect - car il ne s'agit pas d'une plateforme dédiée à l'IA. c) Data Injection Platform : Incorrect - car Azure Databricks n'est pas conçu uniquement pour l'injection de données.","0.0"
"Azure Databricks encapsulates which Apache Storage technology?","a) Apache HDInsight - b) Apache Hadoop - c) Apache Spark","c) Apache Spark","Azure Databricks is built on top of Apache Spark - which is a powerful distributed computing framework used for big data processing.","0.0"
"You have an Apache Spark pool in Azure Synapse Analytics. You run a notebook that creates a DataFrame containing a large amount of data. You need to preserve the DataFrame in memory. Which two transformations can you use? Each correct answer presents a complete solution.","a) cache() - b) persist() - c) take() - d) write()","a) cache() - b) persist()","La transformation cache() conserve les données en mémoire et est déclenchée lorsque la prochaine opération - telle que count() ou take() - est exécutée. De même - persist() conserve les données en mémoire et permet de spécifier des options de stockage comme MEMORY_ONLY ou MEMORY_AND_DISK. Les opérations take() et write() ne servent pas à conserver les données en mémoire.","0.0"
"You plan to implement a data lifecycle policy to identify and delete blobs not modified in the last 100 days. You apply an Azure Blob Storage lifecycle policy. Does this solution meet the goal?","a) Yes - b) No","a) Yes","a) Yes : Correct - car Azure Blob Storage Lifecycle Policy permet de gérer efficacement la suppression des blobs en fonction de leur cycle de vie.","0.0"
"You have an Azure Synapse Analytics pipeline connected to an Azure SQL database. You need to use data masking to obfuscate data and limit its exposure in lower-level environments. Which three options can be used for dynamic data masking? Each correct answer presents a complete solution.","a) Always Encrypted - b) Custom String - c) Default - d) Number - e) row-level security (RLS)","b) Custom String - c) Default - d) Number","Les options Default - Number et Custom String sont valides pour implémenter le masquage dynamique des données au niveau de la base de données SQL Server. Row-level security (RLS) est une capacité de restriction d'accès - pas une capacité d'obfuscation des données. Always Encrypted est une solution d'encryption au niveau de la base de données qui nécessite un pilote sur les ordinateurs clients - et ne fait pas partie du masquage dynamique des données.","0.0"
"The application that publishes messages to Azure Event Hub frequently will get the best performance using Advanced Message Queuing Protocol (AMQP) because it establishes a persistent socket. True or False?","a) True - b) False","a) True","a) True : Correct - car AMQP établit un socket persistant et permet d'envoyer plusieurs messages avec une connexion durable - optimisant ainsi la performance.","0.0"
"You have an Azure Stream Analytics job named Job1. Job1 is configured to use one Streaming Unit (SU) and can be parallelized for up to three nodes. You need to ensure there are three nodes available for the job. What is the minimum number of SUs you should configure?","a) 3 - b) 6 - c) 18 - d) 24","c) 18","Pour chaque six SUs - un nœud est créé. Par conséquent - pour utiliser trois nœuds - il est nécessaire de configurer un minimum de 18 SUs (6 SUs par nœud - 3 nœuds = 18 SUs). -- **a) 3** : Incorrect - car trois SUs ne suffiraient pas à créer un seul nœud. -- **b) 6** : Incorrect - car cela permet de configurer seulement un nœud - pas trois. -- **d) 24** : Bien que cela soit possible - ce n'est pas le nombre minimum nécessaire. 18 est suffisant pour trois nœuds.","0.0"
"In structured data - you define data type at query time.","True - False","False","False: In structured data - data types are predefined in a schema at the time of database or table creation - not during query time.","0.0"
"You need to implement changes to meet compliance standards that require identifying and deleting blobs that were not modified in the last 100 days. You apply an expired tag to the blobs in the storage account. Does this solution meet the goal?","a) Yes - b) No","b) No","b) No : Correct - car appliquer un tag d'expiration ne permet pas de supprimer automatiquement les blobs après une période donnée.","0.0"
"You need to design a data storage structure for the product sales transaction. The solution must meet the sales transaction dataset requirements. What should you include in the solution?","a) Hash - b) Replicated - c) Set the distribution column to Product ID - d) Set the distribution column to Month","a) Hash - c) Set the distribution column to Product ID","a) Hash - c) Set the distribution column to Product ID : Correct - car partitionner par hash sur Product ID améliore les performances des requêtes en permettant un traitement distribué des données par identifiant de produit.","0.0"
"You plan to monitor an Azure data factory using the Monitor and Manage app. You need to identify the status and duration of activities that reference a table in the source database. Which three actions should you perform in sequence?","a) From the Data Factory monitoring app - add the source user property to the activity run table - b) From the Data Factory monitoring app - add the source user property to the pipeline run table - c) From the Data Factory authoring UI - publish the pipelines - d) From the Data Factory monitoring app - add a linked service to the pipeline branch table - e) From the Data Factory authoring UI - generate a user property for the source on all activities - f) From the Data Factory authoring UI - generate a user property for the source on all datasets","e) From the Data Factory authoring UI - generate a user property for the source on all activities - a) From the Data Factory monitoring app - add the source user property to the activity run table - c) From the Data Factory authoring UI - publish the pipelines","e) From the Data Factory authoring UI - generate a user property for the source on all activities - a) From the Data Factory monitoring app - add the source user property to the activity run table - c) From the Data Factory authoring UI - publish the pipelines : Correct - car ces actions permettent de suivre les activités de la pipeline en fonction des propriétés utilisateur définies.","0.0"
"You have an Azure Data Factory pipeline named S3toDataLake1 that copies data between Amazon S3 storage and Azure Data Lake storage. You need to use the Azure Data Factory Pipeline runs dashboard to view the history of runs over a specific time range and group them by tags for S3toDataLake1. Which view should you use?","a) Activity - b) Debug - c) Gantt - d) List","c) Gantt","La vue Gantt permet de voir tous les exécutions du pipeline regroupées par nom - annotation ou balise créés dans le pipeline. Elle affiche également des barres relatives à la durée de chaque exécution.","0.0"
"You are a data engineer for Contoso. Which tool in Stream Analytics should you use to view key health metrics of your jobs?","a) Dashboards - b) Alerts - c) Diagnostics","a) Dashboards","a) Dashboards : Correct - car les tableaux de bord permettent de visualiser les métriques clés de la santé des jobs dans Stream Analytics.","0.0"
"Which Azure Databricks feature supports R- SQL- Python- Scala- and Java?","a) MLlib - b) GraphX - c) Spark Core API","c) Spark Core API","c) Spark Core API : Correct - car Spark Core prend en charge plusieurs langages (R - SQL - Python - Scala - Java). a) MLlib : Incorrect - car MLlib est une bibliothèque d'apprentissage automatique. b) GraphX : Incorrect - car GraphX est utilisé pour le traitement des graphes.","0.0"
"You have an Azure storage account and a data warehouse in Azure Synapse Analytics in the UK South region. You need to copy blob data from the storage account to the data warehouse using Azure Data Factory. The solution must ensure that the data remains in the UK South region at all times and minimizes administrative efforts. Which integration runtime should you use?","a) Azure Integration Runtime - b) Azure SSIS Integration Runtime - c) Self-Hosted Integration Runtime","a) Azure Integration Runtime","a) Azure Integration Runtime : Correct - car il permet le déplacement des données au sein de la même région - tout en minimisant l'effort administratif.","0.0"
"If an Azure Event Hub goes offline before a consumer group can process the events- will those events be lost?","a) True - b) False","b) False","b) False : Correct - car les événements sont persistants dans Azure Event Hub et ne sont pas perdus même si le hub est hors ligne.","0.0"
"You plan to ingest streaming social media data using Azure Stream Analytics. What stream analytics data output format should you recommend?","a) JSON - b) Parquet - c) CSV - d) Avro","b) Parquet","b) Parquet : Correct - car Parquet est un format de fichier optimisé pour les performances de requêtes et la rétention des types de données.","0.0"
"In Structured data you define data type at query time.","True - False","False","Structured data requires predefined types - set during schema creation.","0.0"
"You have an Azure Data Factory pipeline named Pipeline1. Pipeline1 executes many API write operations every time it runs. Pipeline1 is scheduled to run every five minutes. After executing Pipeline1 10 times- you notice a throttling issue in the logs. You need to ensure that you can run Pipeline1 every five minutes. What should you do?","a) Change the compute size to large - b) Create a new integration runtime and a new Pipeline as a copy of Pipeline1. Configure both pipelines to run every 10 minutes - five minutes apart - c) Create a second trigger and set each trigger to run every 10 minutes - five minutes apart - d) Create another pipeline in the data factory and schedule each pipeline to run every 10 minutes - five minutes apart","b) Create a new integration runtime and a new Pipeline as a copy of Pipeline1. Configure both pipelines to run every 10 minutes - five minutes apart","La solution correcte consiste à créer un nouveau runtime d'intégration et un pipeline identique - puis à les faire fonctionner alternativement toutes les 10 minutes. Cela permet d'éviter les limitations de concurrence rencontrées par un seul pipeline. - -Les autres options ne résolvent pas le problème : -- **a) Change the compute size to large** : L'augmentation de la taille de calcul n'aura pas d'impact sur les limites de runtime d'intégration. -- **c) Create a second trigger and set each trigger to run every 10 minutes - five minutes apart** : Le déclenchement supplémentaire ne résoudra pas la limitation de concurrence si le runtime est saturé. -- **d) Create another pipeline in the data factory and schedule each pipeline to run every 10 minutes - five minutes apart** : Même si les pipelines alternent - ils partagent toujours les mêmes limitations de runtime d'intégration.","0.0"
"You have created an external table named ExtTable in Azure Data Explorer. Now a database user needs to run a KQL (Kusto Query Language) query on this external table. Which of the following function should he use to refer to this table?","a) external_table() - b) access_table() - c) ext_table() - d) None of the above","a) external_table()","a) external_table(): This function is used in KQL to refer to an external table in Azure Data Explorer. Other options do not exist in KQL.","0.0"
"You have an Azure Synapse Analytics database named DB1. You need to import data into DB1. The solution must minimize Azure Data Lake Storage transaction costs. Which design pattern should you use?","a) Store the data in 500-MB files - b) Store the data in 2 -000-byte files - c) Use a read-access geo-redundant storage (RA-GRS) storage account - d) Use the Avro file format - e) Use the ORC file format","a) Store the data in 500-MB files","En utilisant des fichiers plus volumineux lors de l'importation des données - les coûts de transaction peuvent être réduits. Cela est dû au fait que la lecture des fichiers est facturée avec une opération de 4 Mo - même si le fichier fait moins de 4 Mo. Pour réduire les coûts - les 4 Mo complets doivent être utilisés par lecture.","0.0"
"You are designing a financial transaction table in Azure Synapse Analytics with 500 million rows per account type and 65 million rows per transaction month. Analysts will mostly query data by month. On which column should you partition the table?","a) Customer Segment - b) Account Type - c) Transaction Type - d) Transaction Month","d) Transaction Month","d) Transaction Month : Correct - car partitionner par mois minimise les temps de requête pour les analyses par période.","0.0"
"How does Spark connect to databases like MySQL or Hive?","a) JDBC - b) ODBC - c) REST API","a) JDBC","a) JDBC : Correct - car JDBC est l'API Java utilisée pour se connecter aux bases de données comme MySQL et Hive. ODBC et REST API ne sont pas utilisés dans ce contexte.","0.0"
"You have an enterprise-wide Azure Data Lake Storage Gen 2 account. You need to ensure the SQL pool can load sales data from the Data Lake. Which three actions should you perform?","a) Add the managed identity to the sales group - b) Use the managed identity as credentials for the data load process - c) Create a shared access signature - d) Add your Azure Active Directory account to the sales group - e) Use the shared access signature as credentials - f) Create a managed identity","a) Add the managed identity to the sales group - b) Use the managed identity as credentials - f) Create a managed identity","a) - b) - f) : Corrects - car vous devez créer une identité managée - l'ajouter au groupe de vente et utiliser cette identité pour le chargement des données. Les autres options - comme les signatures d'accès partagé - ne conviennent pas ici.","0.0"
"You are planning to use Azure Databricks cluster for fine-grained sharing and resource utilization. Which cluster mode should you use?","a) Standard - b) Single Node - c) High Concurrency","c) High Concurrency","c) High Concurrency : Correct - car ce mode permet un partage précis des ressources pour une utilisation optimale.","0.0"
"What should you recommend to prevent users outside the Perfect Pizza on-premises network from accessing the analytical data store?","a) Server-level firewall IP rule - b) Database-level virtual network rule - c) Server-level virtual network rule - d) Database-level firewall IP rule","a) Server-level firewall IP rule","a) Server-level firewall IP rule : Correct - car une règle de pare-feu au niveau du serveur est idéale pour bloquer les connexions extérieures à l'environnement réseau de l'entreprise - tout en permettant l'accès aux réseaux autorisés.","0.0"
"You are designing a security model for an Azure Synapse Analytics pool that will support multiple companies. Which two objects should you include in the solution?","a) Security Policy - b) Custom Role-Based Access Control (RBAC)","a) Security Policy - b) Custom Role-Based Access Control (RBAC)","a) Security Policy - b) Custom Role-Based Access Control (RBAC) : Corrects - car ils permettent de limiter l'accès aux données par entreprise dans un environnement multi-tenant.","0.0"
"Choose valid examples of structured data.","a) Microsoft SQL Server - b) Binary Files - c) Azure SQL Database - d) Audio Files - e) Azure SQL Data Warehouse - f) Image Files","a) Microsoft SQL Server - c) Azure SQL Database - e) Azure SQL Data Warehouse","a) Microsoft SQL Server - c) Azure SQL Database - e) Azure SQL Data Warehouse : Corrects - car ces bases de données stockent des données dans un format structuré. b) Binary Files - d) Audio Files - f) Image Files : Incorrects - car ils sont des exemples de données non structurées.","0.0"
"You have a self-hosted integration runtime in Azure Data Factory. If a node becomes unavailable- what will happen to the running pipelines?","a) Fail until the node comes back online - b) Switch to another integration runtime - c) Exceed the CPU limit","a) Fail until the node comes back online","a) Fail until the node comes back online : Correct - car avec la haute disponibilité désactivée - les pipelines échouent jusqu'à ce que le nœud soit de nouveau en ligne.","0.0"
"You have an Azure Synapse Analytics dedicated SQL pool that contains a table named table one. Table one contains 1 billion rows- a clustered columnstore index- a hash-distributed column named ProductKey- and a SalesDate column of type date. 30 million rows will be added to table one each month. You need to partition table one based on the SalesDate column. The solution must optimize query performance and data loading. How often should you create a partition?","a) Once per month - b) Once per year - c) Once per day - d) Once per week","b) Once per year","b) Once per year : Correct - car partitionner par année permet de gérer efficacement les grands volumes de données tout en optimisant les performances de requête.","0.0"
"You are designing a monitoring solution for 500 vehicles with GPS data sent to an Azure Event Hub. What should you include in the solution?","a) Azure Stream Analytics - b) Azure Databricks - c) Azure Functions - d) Azure Event Grid","a) Azure Stream Analytics - b) Hopping - c) Point-with-Polygon Analysis","a) Azure Stream Analytics : Correct - car Azure Stream Analytics est conçu pour traiter de grands volumes de données en temps réel. b) - c) - d) : Incorrects - car ils ne répondent pas aux exigences spécifiques du problème.","0.0"
"Which of the following are valid trigger types of Azure Data Factory? (Select all options that are applicable)","a) Monthly Trigger - b) Schedule Trigger - c) Overlap Trigger - d) Tumbling Window Trigger - e) Event-based Trigger","b) Schedule Trigger - d) Tumbling Window Trigger - e) Event-based Trigger","Les types de déclencheurs valides dans Azure Data Factory incluent le Schedule Trigger - Tumbling Window Trigger - et Event-based Trigger. Les déclencheurs mensuels peuvent être configurés via un Schedule Trigger - et Overlap Trigger n'existe pas.","0.0"
"Why are partition keys significant when streaming data through Azure Stream Analytics?","a) Partitions are only important on datastores - not data streams - b) The number of inbound partitions must equal the number of outbound partitions - c) They optimize OLAP operations - d) They enable parallelism and concurrency","d) They enable parallelism and concurrency","Partition keys enable parallelism and concurrency in stream processing - allowing more efficient workload distribution.","0.0"
"You need to remove data older than 36 months from a partitioned table in Azure Synapse. Which steps should you take in sequence?","a) Create an empty table - b) Switch partition to work table - c) Drop the partitioned work table","a) Create an empty table - b) Switch partition to work table - c) Drop the partitioned work table","a) Create an empty table - b) Switch partition to work table - c) Drop the partitioned work table : Correct - car cette séquence permet de retirer rapidement les données sans perturber la table principale.","0.0"
"You need to move data from a table in DB1 to a table in DB2 using a pipeline in Azure Data Factory. Which two types of objects should you create in ADF1 to complete the pipeline?","a) Linked services - b) Azure Service Bus - c) Sources and targets - d) Input and output datasets - e) Transformations","c) Sources and targets - e) Transformations","c) Sources and targets - e) Transformations : Correct - car les objets 'Sources and targets' et 'Transformations' sont nécessaires pour déplacer et transformer des données entre deux bases SQL dans une pipeline.","0.0"
"You have an Azure Databricks resource and need to log actions related to compute changes. Which service should you log?","a) Workspace - b) SSH - c) DBFS - d) Clusters","d) Clusters","d) Clusters : Correct - car les actions de calcul dans Azure Databricks - comme les changements dans les clusters - doivent être enregistrées pour la gestion des ressources.","0.0"
"You execute a pipeline that contains a stored procedure- and the procedure fails. What is the status of the pipeline run?","a) Pipeline succeeded - b) Pipeline failed - c) Pipeline skipped - d) Pipeline succeeded with failures","a) Pipeline succeeded","a) Pipeline succeeded : Correct - car même si une activité échoue - la pipeline peut être conçue pour réussir grâce à des mécanismes comme les blocs try-catch.","0.0"
"By default- how long are Azure Data Factory diagnostics logs retained?","a) 15 days - b) 30 days - c) 45 days","c) 45 days","c) 45 days : Correct - car les logs de diagnostic d'Azure Data Factory sont conservés pendant 45 jours par défaut.","0.0"
"What is the maximum number of activities per pipeline in Azure Data Factory?","a) 40 - b) 60 - c) 80 - d) 100 - e) 150","a) 40","a) 40 : Correct - car une pipeline dans Azure Data Factory peut contenir jusqu'à 40 activités - offrant ainsi une flexibilité pour les pipelines complexes.","0.0"
"Your company wants to route data rows to different streams based on matching conditions. Which transformation in mapping data flow should you use?","a) Conditional Split - b) Select - c) Lookup","a) Conditional Split","a) Conditional Split : Correct - car cette transformation permet de router les données vers différents flux selon des conditions définies.","0.0"
